KeyWord;MatchType;AdGroup;Campaign;Cost;Bounce Rate;Clicks
1001 lubela;EXACT;1000 pomys³ów_exact;Lubella Classic - Brand;0,0;0,0;0
1001 lubella;EXACT;1000 pomys³ów_exact;Lubella Classic - Brand;0,0;0,0;0
1001 lubelli;EXACT;1000 pomys³ów_exact;Lubella Classic - Brand;0,0;0,0;0
lubella tysi¹c pomys³ów;EXACT;1000 pomys³ów_exact;Lubella Classic - Brand;0,0;0,0;0
tysi¹c lubela;EXACT;1000 pomys³ów_exact;Lubella Classic - Brand;0,0;0,0;0
tysi¹c lubella;EXACT;1000 pomys³ów_exact;Lubella Classic - Brand;0,0;0,0;0
tysi¹c pomys³ów jedna lubella;EXACT;1000 pomys³ów_exact;Lubella Classic - Brand;0,0;0,0;0
mini;PHRASE;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
100;PHRASE;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
1000;PHRASE;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
tysiac;PHRASE;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
lubela;PHRASE;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
lubella maspex;EXACT;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
przepisy lubella;EXACT;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
tysi¹c;PHRASE;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
uwielbiam;PHRASE;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
lubella;PHRASE;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
uwielbiam.pl;PHRASE;Lubella_exact;Lubella Classic - Brand;0,0;0,0;0
